School Year,Division Number,Division Name,School Number,School Name,Subject,Grade,Test Source,Test,Total Count,Pass Rate
2016-2017,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,8,SOL,Mathematics,              76,    63.16
2016-2017,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,SOL,Algebra I,              38,100.00
2016-2017,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,SOL,Geometry,              39,100.00
2016-2017,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,SOL,Mathematics,             103,    73.79
2016-2017,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,8,SOL,Algebra I,             151,    95.36
2016-2017,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,8,SOL,Geometry,              73,100.00
2016-2017,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,8,SOL,Mathematics,              45,    57.78
2016-2017,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,8,SOL,Algebra I,              16,    87.50
2016-2017,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,8,SOL,Geometry,              33,100.00
2016-2017,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,8,SOL,Mathematics,              46,    84.78
2016-2017,2,Albemarle County ,1051,Mortimer Y. Sutherland Middle,Mathematics,8,SOL,Algebra I,              78,    85.90
2016-2017,2,Albemarle County ,1051,Mortimer Y. Sutherland Middle,Mathematics,8,SOL,Geometry,              59,100.00
2016-2017,2,Albemarle County ,1051,Mortimer Y. Sutherland Middle,Mathematics,8,SOL,Mathematics,              40,    60.00
2016-2017,2,Albemarle County ,890,Murray High,Mathematics,8,SOL,Algebra I,<,>50
2017-2018,2,Albemarle County ,1060,Albemarle County Community Public Charter,Mathematics,8,SOL,Algebra I,<,<50
2017-2018,2,Albemarle County ,1060,Albemarle County Community Public Charter,Mathematics,8,SOL,Geometry,<,>50
2017-2018,2,Albemarle County ,1060,Albemarle County Community Public Charter,Mathematics,8,SOL,Mathematics,              11,<50
2017-2018,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,8,SOL,Algebra I,              54,    94.44
2017-2018,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,8,SOL,Geometry,              37,100.00
2017-2018,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,8,SOL,Mathematics,              87,    48.28
2017-2018,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,SOL,Algebra I,              53,    98.11
2017-2018,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,SOL,Geometry,              39,100.00
2017-2018,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,SOL,Mathematics,              83,    65.06
2017-2018,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,8,SOL,Algebra I,             148,    93.92
2017-2018,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,8,SOL,Geometry,              74,100.00
2017-2018,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,8,SOL,Mathematics,              62,    64.52
2017-2018,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,8,SOL,Algebra I,              25,    96.00
2017-2018,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,8,SOL,Geometry,              27,100.00
2017-2018,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,8,SOL,Mathematics,              60,    66.67
2017-2018,2,Albemarle County ,1051,Mortimer Y. Sutherland Middle,Mathematics,8,SOL,Algebra I,              83,    93.98
2017-2018,2,Albemarle County ,1051,Mortimer Y. Sutherland Middle,Mathematics,8,SOL,Geometry,              70,100.00
2017-2018,2,Albemarle County ,1051,Mortimer Y. Sutherland Middle,Mathematics,8,SOL,Mathematics,              50,    48.00
2018-2019,2,Albemarle County ,1060,Albemarle County Community Public Charter,Mathematics,8,SOL,Algebra I,<,>50
2018-2019,2,Albemarle County ,1060,Albemarle County Community Public Charter,Mathematics,8,SOL,Geometry,<,>50
2018-2019,2,Albemarle County ,1060,Albemarle County Community Public Charter,Mathematics,8,SOL,Mathematics,              12,<50
2018-2019,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,8,SOL,Algebra I,              73,    98.63
2018-2019,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,8,SOL,Geometry,              41,100.00
2018-2019,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,8,SOL,Mathematics,              76,    61.84
2018-2019,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,SOL,Algebra I,              60,    95.00
2018-2019,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,SOL,Geometry,              43,100.00
2018-2019,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,SOL,Mathematics,              97,    72.16
2018-2019,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,8,SOL,Algebra I,             157,    98.73
2018-2019,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,8,SOL,Geometry,              84,100.00
2018-2019,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,8,SOL,Mathematics,              58,    70.69
2018-2019,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,8,SOL,Algebra I,              42,    95.24
2018-2019,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,8,SOL,Geometry,              32,100.00
2018-2019,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,8,SOL,Mathematics,              53,    71.70
2018-2019,2,Albemarle County ,1051,Mortimer Y. Sutherland Middle,Mathematics,8,SOL,Algebra I,              65,    98.46
2018-2019,2,Albemarle County ,1051,Mortimer Y. Sutherland Middle,Mathematics,8,SOL,Geometry,              64,100.00
2018-2019,2,Albemarle County ,1051,Mortimer Y. Sutherland Middle,Mathematics,8,SOL,Mathematics,              41,    53.66
2020-2021,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,8,SOL,Algebra I,              48,    97.92
2020-2021,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,8,SOL,Geometry,              11,100.00
2020-2021,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,8,SOL,Mathematics,<,<50
2020-2021,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,SOL,Algebra I,              30,    70.00
2020-2021,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,SOL,Geometry,              20,100.00
2020-2021,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,SOL,Mathematics,              13,<50
2020-2021,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,8,SOL,Algebra I,              45,    60.00
2020-2021,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,8,SOL,Geometry,              34,100.00
2020-2021,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,8,SOL,Mathematics,<,>50
2020-2021,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,8,SOL,Algebra I,              22,    68.18
2020-2021,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,8,SOL,Geometry,<,>50
2020-2021,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,8,SOL,Mathematics,<,<50
2020-2021,2,Albemarle County ,1051,Mortimer Y. Sutherland Middle,Mathematics,8,SOL,Algebra I,              59,    62.71
2020-2021,2,Albemarle County ,1051,Mortimer Y. Sutherland Middle,Mathematics,8,SOL,Geometry,              69,    88.41
2020-2021,2,Albemarle County ,1051,Mortimer Y. Sutherland Middle,Mathematics,8,SOL,Mathematics,              21,    19.05
2020-2021,2,Albemarle County ,890,Murray School,Mathematics,8,SOL,Algebra I,<,>50
2020-2021,2,Albemarle County ,890,Murray School,Mathematics,8,SOL,Geometry,<,>50
