School Year,Division Number,Division Name,School Number,School Name,Subject,Grade,Disadvantaged,Test Source,Test,Total Count,Pass Rate
2010-2011,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,8,Y,SOL,Mathematics,              27,    74.07
2010-2011,2,Albemarle County ,1051,Mortimer Y. Sutherland Middle,Mathematics,8,N,SOL,Algebra I,              61,100.00
2010-2011,2,Albemarle County ,1051,Mortimer Y. Sutherland Middle,Mathematics,8,Y,SOL,Algebra I,<,>50
2010-2011,2,Albemarle County ,1051,Mortimer Y. Sutherland Middle,Mathematics,8,N,SOL,Geometry,              52,    98.08
2010-2011,2,Albemarle County ,1051,Mortimer Y. Sutherland Middle,Mathematics,8,Y,SOL,Geometry,<,>50
2010-2011,2,Albemarle County ,1051,Mortimer Y. Sutherland Middle,Mathematics,8,N,SOL,Mathematics,              52,    96.15
2010-2011,2,Albemarle County ,1051,Mortimer Y. Sutherland Middle,Mathematics,8,Y,SOL,Mathematics,              14,    92.86
2011-2012,2,Albemarle County ,1060,Albemarle County Community Public Charter,Mathematics,8,N,SOL,Mathematics,<,>50
2011-2012,2,Albemarle County ,1060,Albemarle County Community Public Charter,Mathematics,8,Y,SOL,Mathematics,<,>50
2011-2012,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,8,N,SOL,Algebra I,              58,100.00
2011-2012,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,8,Y,SOL,Algebra I,              15,    93.33
2011-2012,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,8,N,SOL,Geometry,              28,100.00
2011-2012,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,8,Y,SOL,Geometry,<,>50
2011-2012,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,8,N,SOL,Mathematics,              18,    61.11
2011-2012,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,8,Y,SOL,Mathematics,              37,    78.38
2011-2012,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,N,SOL,Algebra I,              51,    98.04
2011-2012,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,Y,SOL,Algebra I,              15,    86.67
2011-2012,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,N,SOL,Geometry,              30,100.00
2011-2012,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,Y,SOL,Geometry,<,>50
2011-2012,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,N,SOL,Mathematics,              29,    55.17
2011-2012,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,Y,SOL,Mathematics,              27,    29.63
2011-2012,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,8,N,SOL,Algebra I,             106,100.00
2011-2012,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,8,Y,SOL,Algebra I,<,>50
2011-2012,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,8,N,SOL,Geometry,              48,100.00
2011-2012,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,8,Y,SOL,Geometry,<,>50
2011-2012,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,8,N,SOL,Mathematics,              82,    96.34
2011-2012,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,8,Y,SOL,Mathematics,              28,    96.43
2011-2012,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,8,N,SOL,Algebra I,              26,    73.08
2011-2012,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,8,Y,SOL,Algebra I,<,>50
2011-2012,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,8,N,SOL,Geometry,              34,100.00
2011-2012,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,8,Y,SOL,Geometry,<,>50
2011-2012,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,8,N,SOL,Mathematics,              28,    50.00
2011-2012,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,8,Y,SOL,Mathematics,              27,    33.33
2011-2012,2,Albemarle County ,1051,Mortimer Y. Sutherland Middle,Mathematics,8,N,SOL,Algebra I,              59,    94.92
2011-2012,2,Albemarle County ,1051,Mortimer Y. Sutherland Middle,Mathematics,8,Y,SOL,Algebra I,<,>50
2011-2012,2,Albemarle County ,1051,Mortimer Y. Sutherland Middle,Mathematics,8,N,SOL,Geometry,              69,100.00
