"Year","School_ID","Entity","Group","Test","Pass Rate","Total Count"
"2006-2007",69,"Jackson P. Burley Middle","Unknown Race","Mathematics",NA,NA
"2006-2007",69,"Jackson P. Burley Middle","White","Algebra I",100,26
"2006-2007",69,"Jackson P. Burley Middle","White","Geometry",100,20
"2006-2007",69,"Jackson P. Burley Middle","White","Mathematics",56.6,53
"2006-2007",942,"Joseph T. Henley Middle","All Students","Algebra I",100,88
"2006-2007",942,"Joseph T. Henley Middle","All Students","Geometry",100,27
"2006-2007",942,"Joseph T. Henley Middle","All Students","Mathematics",84.88,86
"2006-2007",942,"Joseph T. Henley Middle","Economically Advantaged","Algebra I",100,87
"2006-2007",942,"Joseph T. Henley Middle","Economically Disadvantaged","Algebra I",NA,NA
"2006-2007",942,"Joseph T. Henley Middle","Economically Advantaged","Geometry",100,27
"2006-2007",942,"Joseph T. Henley Middle","Economically Advantaged","Mathematics",88.41,69
"2006-2007",942,"Joseph T. Henley Middle","Economically Disadvantaged","Mathematics",70.59,17
"2006-2007",942,"Joseph T. Henley Middle","Non-English Learners","Algebra I",100,84
"2006-2007",942,"Joseph T. Henley Middle","English Learners","Algebra I",NA,NA
"2006-2007",942,"Joseph T. Henley Middle","Non-English Learners","Geometry",100,25
"2006-2007",942,"Joseph T. Henley Middle","English Learners","Geometry",NA,NA
"2006-2007",942,"Joseph T. Henley Middle","Non-English Learners","Mathematics",85.71,84
"2006-2007",942,"Joseph T. Henley Middle","English Learners","Mathematics",NA,NA
"2006-2007",942,"Joseph T. Henley Middle","Asian","Algebra I",NA,NA
"2006-2007",942,"Joseph T. Henley Middle","Asian","Geometry",NA,NA
"2006-2007",942,"Joseph T. Henley Middle","Asian","Mathematics",NA,NA
"2006-2007",942,"Joseph T. Henley Middle","Black","Algebra I",NA,NA
"2006-2007",942,"Joseph T. Henley Middle","Black","Mathematics",NA,NA
"2006-2007",942,"Joseph T. Henley Middle","Hispanic","Algebra I",NA,NA
"2006-2007",942,"Joseph T. Henley Middle","Unknown Race","Algebra I",NA,NA
"2006-2007",942,"Joseph T. Henley Middle","Unknown Race","Mathematics",NA,NA
"2006-2007",942,"Joseph T. Henley Middle","White","Algebra I",100,80
"2006-2007",942,"Joseph T. Henley Middle","White","Geometry",100,21
"2006-2007",942,"Joseph T. Henley Middle","White","Mathematics",85.71,77
"2006-2007",20,"Leslie H. Walton Middle","All Students","Algebra I",100,43
"2006-2007",20,"Leslie H. Walton Middle","All Students","Geometry",100,19
"2006-2007",20,"Leslie H. Walton Middle","All Students","Mathematics",39.74,78
"2006-2007",20,"Leslie H. Walton Middle","Economically Advantaged","Algebra I",100,39
"2006-2007",20,"Leslie H. Walton Middle","Economically Disadvantaged","Algebra I",NA,NA
"2006-2007",20,"Leslie H. Walton Middle","Economically Advantaged","Geometry",100,16
"2006-2007",20,"Leslie H. Walton Middle","Economically Disadvantaged","Geometry",NA,NA
"2006-2007",20,"Leslie H. Walton Middle","Economically Advantaged","Mathematics",42.55,47
"2006-2007",20,"Leslie H. Walton Middle","Economically Disadvantaged","Mathematics",35.48,31
"2006-2007",20,"Leslie H. Walton Middle","Non-English Learners","Algebra I",100,42
"2006-2007",20,"Leslie H. Walton Middle","Non-English Learners","Geometry",100,16
"2006-2007",20,"Leslie H. Walton Middle","English Learners","Geometry",NA,NA
"2006-2007",20,"Leslie H. Walton Middle","Non-English Learners","Mathematics",38.57,70
"2006-2007",20,"Leslie H. Walton Middle","English Learners","Mathematics",NA,NA
"2006-2007",20,"Leslie H. Walton Middle","Asian","Geometry",NA,NA
"2006-2007",20,"Leslie H. Walton Middle","Asian","Mathematics",NA,NA
"2006-2007",20,"Leslie H. Walton Middle","Black","Algebra I",NA,NA
"2006-2007",20,"Leslie H. Walton Middle","Black","Mathematics",NA,19
"2006-2007",20,"Leslie H. Walton Middle","Hispanic","Algebra I",NA,NA
"2006-2007",20,"Leslie H. Walton Middle","Hispanic","Geometry",NA,NA
"2006-2007",20,"Leslie H. Walton Middle","Hispanic","Mathematics",NA,NA
"2006-2007",20,"Leslie H. Walton Middle","Unknown Race","Mathematics",NA,NA
"2006-2007",20,"Leslie H. Walton Middle","White","Algebra I",100,35
"2006-2007",20,"Leslie H. Walton Middle","White","Geometry",100,16
"2006-2007",20,"Leslie H. Walton Middle","White","Mathematics",41.18,51
